                           Nonce      #Sol.     Time/s
57c9f0ac809d33d5aa7ed86e85360733          1   1.464839
3fef4dfdd7e8e08b38494c092ba6fcb3          1   1.573368
71ac20782aaccd10e97eaedecc960c71          2   1.894141
aecbea1ceb90af8d240625439620e154          0   1.368902
129d2b91074199cb4d572db536f131c8          1   1.543612
c8de0d1472070266601625aa8d96cca1          4   1.620508
6a7cb7269c2b57b8bd1a6427999b7832          7   2.334932
61cbee4c1ac15850a6ad3e164707629a          0   1.572391
90fd9672d9d00673b2f271a3ee8d86c3          1   1.638201
b66ee20535ba59bc1ebf20d386a147c1          2   1.829108
2159fce5a4243ad3e33c64836c1d5e0d          2   1.843029
78917b85269cd2060d45ecf747346480          2   1.985271
eba4676f405a81c05955a6571c69be68         10   2.202635
96fa38f1174ba758f549729f33f1c925         15   2.395032
dee73dd0028090695930881f66aba044          5   1.850311
a1c55f249717d504a0244fd0278a10d5          4   1.813149
22454750449b5cbe035bb4bdef0f8904          1   1.576377
6c3e0be2044d52e506053a5a8151c68b          1   1.721688
e622838613c1592ec41be5e1e0df2ea3         10   2.059059
dd662ec7efef105ed93bc1115ccd79af          2   1.529846
08cf9eef60c290be57fff46d86c7212b          0   1.593459
0f470d296dda812faef640fb9a061f4a          2   1.831453
ad3ad90058548e77cf7d9693d5267b1a          4   2.042800
65101bd7f207117991de56f4cba3b3df          1   1.447222
c292e31f77de3e44838f9a3484c24f8d          1   1.820631
abc6537e49b20de562dd4bf3c2bbe85b          5   2.084319
1b89469cd4f891936ee9626c56cb65ea          0   1.548566
c5d2a409c8ec1332a46e8db83340fe9c          0   1.494211
5010a231d5fa96879614251088033607          2   1.874044
6ef76b0a5390f2502a342d19e893e6a9          0   1.473257
12a8034563aef1200e87bb0c38f2752b          1   1.682102
ea1fac16bf7cfa82a20f3b58b2862d28          0   1.595187
d7cb566f33f49742e5e9f5f1bde1712f          1   1.739262
530fb9b14b5dce0c5904238079cfa3c6          1   1.663025
80f6bde1cc723f8a4bdb9c5b05d6cd92          1   1.332229
4edf0c120cefa3ab11da96d368616b79          1   1.381922
646a715362843bbb2d875f01cf5cc916          0   1.475408
da0d3df04504a91a22101e9ea03902e1          3   1.613066
725882cad835098f3c7f6acd7edaa4ef          2   1.754084
66403269b6dcd4058047ca7817bdab7f          0   1.607404
e061679864475a5f2fe8e1652bdf033b          0   1.450038
8567a70e37e9665dea7c51ee80e18d2c          1   1.499809
3a8e76d550d3fac0620d1215e0d7bd2e          6   1.941672
3700bbcf43c556f414fe07d14dbbc3b8          1   1.602932
a38e4f0c16e98c4115c88a2587eb2035          4   1.555167
0ce42ca487172bf5118748869382ed09          1   1.567546
80eb4a8e306d781ba919f7f40910bd95          1   1.502158
648fc65d40647211fa26e13478fd5326          3   1.946611
2a93f30c6e0092c789c118ec87a60e0d          6   1.899754
b9bf45a8bb2bb1e85399f607d45a36b0          1   1.496208
d7cb60e0a6582f62962a25b148a9ddaa          0   1.377323
fd7ea073648a56f3133f37c8499d5101          2   1.623888
fadf435ff925050f6c7d5515d9335fc6          2   1.711926
f020de50375f111bef512ee178d4994e          1   1.734855
9a825b60581e96c0e1829b6fe1ee9291          1   1.550143
2af3c494975568eff01061dd303bb750          3   1.585927
e18b9768739e4ebe38121c91340f9167          7   1.931361
60fed3907f73651fc93e9aff4efd1e45          1   1.517273
0b90dd57edc50163b4136ce9bf7a3186          1   1.611017
4e12384d526825f52ab90857a7939593          1   1.369289
489c0e7669298785c2ca694a9ea92a5f          2   1.890832
e1a5da5b94fba084c0d0913c8630b2a9          1   1.613695
2a46ae7668c7e81a59d29430a5df35e4          1   1.588788
c9b61b5f5ae3d008291dac451fe35de9          6   1.773640
a9e449650a3359888dcd314a05905581          3   1.738994
40a2a12d41d46265e780c45e95d30527          1   1.602011
cdf59e565c9d30b86a8ec9a2d4fd8396          3   1.575001
2561ec0d9250f1a502f3761d7417f587          6   1.837466
18104915ff857f623f2ff6886f058beb          0   1.415552
2bef7fc50453a128b5c2356573a9127b          7   2.062624
2588fa65694f0a547e6fe08d7f60365d          2   1.559535
5cebd40959b0b0fffdc27b3f123fbd4c         10   2.049428
319f7f549127aad20a6e4549b4fc2429          5   1.892570
4e4880c7faaf0f4d12cd40c279cd38ae          2   1.534905
bdd10d64b73a8598ca5d691830d2039b          1   1.697421
d756848c2f818741dafa06f9b1a0d5cc          4   1.630471
b04c5bbfdb7aa4e97cf8231d8312358a          6   1.885133
19be7b5e0dc65c78c2f2c04168e72e23          1   1.415549
fe12dbc108b71790827485cd969f239d          0   1.407325
886cb166561976a7e1ffd220fcf50a92          3   1.728459
e3b92d8cc2469608a3a796a738918645          3   1.633334
d1213d574cf765e44e5baa1bf5c9cc1e          3   1.831361
e557d496eb4c5d561031f0e0c901ef9b          3   1.850438
14c0e616ffc410954a582dd1656c8039          2   1.438334
f09acae97d77bcb4119f975401808406          0   1.385020
6e74bc28cc58921c08cf2fe081a33a07          4   1.737404
4ca940e1f3f467ee93bee7edfeabda1e          1   1.866932
35fbc54220eafc86a7e8d35c6f36e30d          2   1.378149
771b64f09018ab41fd328a486a6ffc87          3   1.859358
a85ddcc7c9c5237345c9cfc3f24eedb2         16   2.261184
a7bb7af2262520a29ca22ab98aefc5b1          3   1.701590
239a18fb6d67e31f40e04a5a0b69617c          5   1.599122
87bf2e29fb01bcab761f0461cbe043c4          2   1.306506
e4a0fffd2822db8ad73b7280a30b93d2          1   1.536097
793154d04ce087f3408d7a3a518edd96          1   1.394150
53b6b12a3013383a1c64c33b91a3e168          6   1.682844
8d474820e4cae067014707d3d48ca73f          5   1.746058
87546077d0aaa87227926ce02450d692          1   1.442000
98e62beba309ff9648e76b453335749a          6   1.691480
40a67c557d265e9540f8edb94590977f          1   1.634572
6fafbf0e7cec69cc608e8951eb3e7ada          0   1.626049
48784d11e59726162259c6b1e0afa9b5          3   1.522312
76692398a18b58ddc832d5033e571a18          5   1.561760
960a40a4c2e596c82a47e01427950b0b          1   1.431231
5cd53a9dfb36c70f024d7c759dcd5bd4          5   2.125461
95b5778cc1a9d1d0528354a3c151adb0          3   1.418481
c6a17355281f9c80bbfbd34324d0b81f          0   1.387202
b66bf06e69aaa3f9af009e83af04f9f1          4   1.645113
c3448f4cae3a3fee0540eff0f146255f          7   1.953178
5efb0524be895f516414eea1d52bca20          9   1.908586
6e855835a09b69c53bd36f24b943d980          5   1.699354
bdb93a10be1da774e2b2b86bdf7b54f2          2   1.382244
b4b794fde5935e32e591256a90800222          1   1.448080
4ab49da2f17e33ccf467a81c52442682          4   1.647728
440aa2910369d6f64a81e172567cfaca          1   1.542264
df1e1eb5069edb67a8983d26e21358d2          1   1.330033
5b7ec24931d660b259cebd05586732fb          1   1.565356
60b3519d9229ce7a9af863cb5477290a          0   1.341064
5cdbe025f97d44cb6c5681da3e1902cf          4   1.726870
692bb02730014157ec10fa92141ac29c          2   1.421130
36567d233e5173361cc3d321d1ade702          1   1.326751
6a3bd3ea9b148f71660438052c674c85          0   1.571588
13e77e8ab7369019416153bf9c9980b7          5   1.870889
342754a10176f4e72fe03dbef8e868d6          3   1.510236
5da457b10412caa6e1897d1ec350efca          6   1.875968
3da306af544d320f1c4f7886d98c9110          2   1.654812
4f6fd80d8bddc15f18b0dcc8742512cf          3   1.693088
9111aec2c8ddd985a3f0e3108ab26a77          5   1.570427
9aff3dd33f7e7b99794b2b9dfdf50a50          0   1.489426
d5243595812f047afa73d38035420ca8          4   1.687722
c06e2601197801b0f81e4333e4891903          0   1.171117
6eab6bbf1566f53fb981e718745e9d65          0   1.384912
d28bd8ee2be08c417d56014feb194749          1   1.591691
575c052587d918e11771bd1762b3f326          0   1.373163
f7627bd5e1ff4432d8557848a4bd9b1a          4   1.709131
e43b61d19e7b2376ab890ec4015091c3          3   1.565641
69cb1668b04b13d827fbff4b0b72b11f          4   1.660267
80f85c2aa8d2eb2b3b462d26a9c45b6f          6   1.732397
40a42f520f8c112f27d6a2eb14f63e4d          4   1.862261
14fcdc894dab5b8bd82901225d97fd68          0   1.291926
cbdd37f063131c1514d7e53ac358ad21          1   1.448042
cd9d0ab10c12973118df6f4f4702c345          1   1.512184
d9e00a6cc431fc915c880eda6476763b          6   1.992328
0f3bb5217c857556c31f97c8c184f6a4          3   1.590764
35ef906f6a40c13840bde2429242a1a0          6   1.700811
fa4aa42ae66ff2695e9c55868c077c8d          3   1.566296
c52e4b330df30ba56685951b8342d4d0          2   1.931105
513ff9720be29d8c8d4241a7a49670a7          1   1.494700
251b24a96fd644cb81cdf93d271ed0a1          2   1.644813
8149f04b3fd803d2331e64689a3ae29d          0   1.464845
fdfc2b08750c3fea6194c4e4106d5a2c          1   1.513134
532480457fe16c538c713eab9e734dd8          0   1.412968
79fb91ab8af1e9456b5cd54eba6ae1b1          3   1.891182
afe0177bac62875b705eb6f028719f69          2   1.657520
d5fbc93657951161dd672d73871c1330          0   1.355142
30ec9f6b59ebacccd88d2a8813fb26aa          1   1.667112
2fac65bb6aecfbe2f7f2fa22cb0406f5          0   1.424965
968aafb1f8cff25141e4be2b12f4fe7d          0   1.410435
274ab568ca0d8b20db5939c9c9b25bd1          1   1.670071
2aaf92c952dd946368f0d0d0dc60e6e9          0   1.417485
3aeb037349202a6466641ea27e396a9e          4   1.564929
d45368e594ecea847880a0a322fb0d80          0   1.523340
b2b2ecdd3929414f7dc52b8f6fdb6736          1   1.528460
80805701726f66b11860e6d5ed1dfdd9          4   1.629963
1bfd320d7be8b7e3a5ca5bf03c18aeb5          3   1.856532
ccf52657f411c753f7ca9d67a7e3ce2d          4   1.742628
9a08757b6f4cabc982fa458423ee94cf          0   1.601232
675caa61d815bd106a1094c3c35a6d61          1   1.611415
2c0fb9e3d3af2581d6b20b345a2f6444          8   1.744268
a18cfb3ce4ad6805962c0e0c76eb7cbc          0   1.468523
3aab131d7d3f4811545d35cc064a2585         10   2.065389
ffc24688324590b5d3c2d684cf1a58ed          4   1.578965
57360f191f9b8e54c8d28e9b8d124dde          2   1.554240
9c12d03608305332513d9d8e7919ee02          0   1.438193
d4970398629ad13b69cd3dfacde14585          2   1.924865
1edd733a35034fcfe9441eb94fec22d9          4   1.547893
3fd11f858debc5d31f23ba312f8ec302          1   1.340501
116c66cc052fa0f6a541d240d5209a27          2   1.747168
eae4131bd2a926f6986f8cc64fdcab31          2   1.692768
46edc538bebc0dacb6ccaba00760f715          3   1.743758
1d3e24603d24910dd04198ff16319a02          0   1.483165
2fd992f26ffc19a4d19dc0287bf5fae5          3   1.523973
d2ab79400ed038d4f906fe1f9578bbd5          0   1.573291
ccdc9d1f3c5cf91de0a1f030b7dfdb3b          1   1.624709
d5220a38b56b8d40f514580242dfb8ca          4   1.736330
28054c56eea60402a66d71a867714318          0   1.446833
